CINDA BACKUP   BCK00120240426 157569  65309
      1) Area:1 Z=0   NN-1      bl:6     ln:10   
      2) Area:1 Z=1   H-0       bl:8     ln:17   
      3) Area:1 Z=1   H-1       bl:766   ln:1829 
      4) Area:1 Z=1   H-2       bl:735   ln:1822 
      5) Area:1 Z=1   H-3       bl:249   ln:636  
      6) Area:1 Z=1   H-BNZ     bl:17    ln:23   
      7) Area:1 Z=1   H-CMP     bl:9     ln:11   
      8) Area:1 Z=1   H-CXX     bl:49    ln:65   
      9) Area:1 Z=1   H-D2O     bl:42    ln:84   
     10) Area:1 Z=1   H-DXX     bl:5     ln:6    
     11) Area:1 Z=1   H-ETH     bl:3     ln:7    
     12) Area:1 Z=1   H-MTH     bl:33    ln:58   
     13) Area:1 Z=1   H-PFN     bl:12    ln:14   
     14) Area:1 Z=1   H-PHL     bl:6     ln:8    
     15) Area:1 Z=1   H-PLE     bl:52    ln:93   
     16) Area:1 Z=1   H-WTR     bl:104   ln:213  
     17) Area:1 Z=2   HE-0      bl:26    ln:55   
     18) Area:1 Z=2   HE-3      bl:305   ln:739  
     19) Area:1 Z=2   HE-4      bl:397   ln:950  
     20) Area:1 Z=2   HE-6      bl:3     ln:7    
     21) Area:1 Z=2   HE-8      bl:2     ln:5    
     22) Area:1 Z=3   LI-0      bl:95    ln:199  
     23) Area:1 Z=3   LI-11     bl:4     ln:8    
     24) Area:1 Z=3   LI-6      bl:580   ln:1659 
     25) Area:1 Z=3   LI-7      bl:548   ln:1543 
     26) Area:1 Z=3   LI-8      bl:18    ln:45   
     27) Area:1 Z=3   LI-9      bl:2     ln:4    
     28) Area:1 Z=3   LI-CMP    bl:5     ln:11   
     29) Area:1 Z=4   BE-0      bl:1     ln:1    
     30) Area:1 Z=4   BE-10     bl:16    ln:36   
     31) Area:1 Z=4   BE-11     bl:4     ln:12   
     32) Area:1 Z=4   BE-14     bl:1     ln:2    
     33) Area:1 Z=4   BE-7      bl:48    ln:126  
     34) Area:1 Z=4   BE-9      bl:948   ln:2368 
     35) Area:1 Z=4   BE-OXI    bl:18    ln:30   
     36) Area:1 Z=5   B-0       bl:114   ln:250  
     37) Area:1 Z=5   B-10      bl:472   ln:1292 
     38) Area:1 Z=5   B-11      bl:358   ln:938  
     39) Area:1 Z=5   B-12      bl:3     ln:7    
     40) Area:1 Z=5   B-13      bl:3     ln:6    
     41) Area:1 Z=5   B-8       bl:3     ln:7    
     42) Area:1 Z=5   B-9       bl:6     ln:12   
     43) Area:1 Z=5   B-CMP     bl:7     ln:13   
     44) Area:1 Z=6   C-0       bl:339   ln:809  
     45) Area:1 Z=6   C-11      bl:12    ln:14   
     46) Area:1 Z=6   C-12      bl:1487  ln:3753 
     47) Area:1 Z=6   C-13      bl:332   ln:905  
     48) Area:1 Z=6   C-14      bl:107   ln:242  
     49) Area:1 Z=6   C-15      bl:4     ln:8    
     50) Area:1 Z=6   C-9       bl:1     ln:4    
     51) Area:1 Z=6   C-CMP     bl:14    ln:23   
     52) Area:1 Z=7   N-0       bl:76    ln:199  
     53) Area:1 Z=7   N-12      bl:1     ln:2    
     54) Area:1 Z=7   N-13      bl:8     ln:9    
     55) Area:1 Z=7   N-14      bl:598   ln:1437 
     56) Area:1 Z=7   N-15      bl:177   ln:416  
     57) Area:1 Z=7   N-16      bl:3     ln:5    
     58) Area:1 Z=7   N-17      bl:1     ln:3    
     59) Area:1 Z=7   N-AIR     bl:4     ln:4    
     60) Area:1 Z=7   N-AMM     bl:14    ln:19   
     61) Area:1 Z=7   N-CMP     bl:2     ln:2    
     62) Area:1 Z=8   O-0       bl:105   ln:254  
     63) Area:1 Z=8   O-13      bl:1     ln:4    
     64) Area:1 Z=8   O-14      bl:10    ln:20   
     65) Area:1 Z=8   O-15      bl:25    ln:34   
     66) Area:1 Z=8   O-16      bl:854   ln:2154 
     67) Area:1 Z=8   O-17      bl:113   ln:258  
     68) Area:1 Z=8   O-18      bl:153   ln:379  
     69) Area:1 Z=8   O-19      bl:2     ln:3    
     70) Area:1 Z=8   O-20      bl:3     ln:5    
     71) Area:1 Z=8   O-24      bl:1     ln:3    
     72) Area:1 Z=8   O-CMP     bl:15    ln:39   
     73) Area:1 Z=9   F-0       bl:1     ln:1    
     74) Area:1 Z=9   F-17      bl:16    ln:37   
     75) Area:1 Z=9   F-18      bl:43    ln:119  
     76) Area:1 Z=9   F-18-L    bl:1     ln:3    
     77) Area:1 Z=9   F-19      bl:376   ln:984  
     78) Area:1 Z=9   F-20      bl:5     ln:5    
     79) Area:1 Z=9   F-21      bl:1     ln:2    
     80) Area:1 Z=9   F-27      bl:3     ln:6    
     81) Area:1 Z=9   F-CMP     bl:5     ln:10   
     82) Area:1 Z=10  NE-0      bl:48    ln:102  
     83) Area:1 Z=10  NE-18     bl:10    ln:24   
     84) Area:1 Z=10  NE-19     bl:3     ln:3    
     85) Area:1 Z=10  NE-20     bl:122   ln:266  
     86) Area:1 Z=10  NE-21     bl:28    ln:54   
     87) Area:1 Z=10  NE-22     bl:67    ln:149  
     88) Area:1 Z=10  NE-23     bl:2     ln:2    
     89) Area:1 Z=11  NA-0      bl:1     ln:1    
     90) Area:1 Z=11  NA-21     bl:9     ln:24   
     91) Area:1 Z=11  NA-22     bl:28    ln:84   
     92) Area:1 Z=11  NA-23     bl:423   ln:1133 
     93) Area:1 Z=11  NA-24     bl:7     ln:8    
     94) Area:1 Z=11  NA-CMP    bl:9     ln:17   
     95) Area:1 Z=12  MG-0      bl:262   ln:690  
     96) Area:1 Z=12  MG-20     bl:2     ln:5    
     97) Area:1 Z=12  MG-22     bl:3     ln:5    
     98) Area:1 Z=12  MG-23     bl:4     ln:6    
     99) Area:1 Z=12  MG-24     bl:281   ln:664  
    100) Area:1 Z=12  MG-25     bl:112   ln:238  
    101) Area:1 Z=12  MG-26     bl:148   ln:354  
    102) Area:1 Z=12  MG-27     bl:5     ln:8    
    103) Area:1 Z=12  MG-CMP    bl:6     ln:7    
    104) Area:1 Z=12  MG-OXI    bl:3     ln:12   
    105) Area:1 Z=13  AL-0      bl:1     ln:1    
    106) Area:1 Z=13  AL-23     bl:1     ln:3    
    107) Area:1 Z=13  AL-25     bl:3     ln:5    
    108) Area:1 Z=13  AL-26     bl:19    ln:36   
    109) Area:1 Z=13  AL-26-M1  bl:1     ln:2    
    110) Area:1 Z=13  AL-27     bl:1095  ln:2904 
    111) Area:1 Z=13  AL-28     bl:6     ln:7    
    112) Area:1 Z=13  AL-CMP    bl:8     ln:13   
    113) Area:1 Z=13  AL-OXI    bl:3     ln:7    
    114) Area:1 Z=14  SI-0      bl:295   ln:871  
    115) Area:1 Z=14  SI-27     bl:5     ln:5    
    116) Area:1 Z=14  SI-28     bl:379   ln:923  
    117) Area:1 Z=14  SI-29     bl:103   ln:226  
    118) Area:1 Z=14  SI-30     bl:108   ln:237  
    119) Area:1 Z=14  SI-31     bl:5     ln:7    
    120) Area:1 Z=14  SI-32     bl:2     ln:4    
    121) Area:1 Z=14  SI-CMP    bl:5     ln:14   
    122) Area:1 Z=14  SI-OXI    bl:21    ln:40   
    123) Area:1 Z=15  P-0       bl:1     ln:1    
    124) Area:1 Z=15  P-29      bl:10    ln:26   
    125) Area:1 Z=15  P-30      bl:9     ln:16   
    126) Area:1 Z=15  P-31      bl:208   ln:463  
    127) Area:1 Z=15  P-32      bl:5     ln:5    
    128) Area:1 Z=15  P-41      bl:1     ln:2    
    129) Area:1 Z=15  P-43      bl:1     ln:2    
    130) Area:1 Z=16  S-0       bl:206   ln:534  
    131) Area:1 Z=16  S-30      bl:1     ln:3    
    132) Area:1 Z=16  S-31      bl:5     ln:8    
    133) Area:1 Z=16  S-32      bl:230   ln:514  
    134) Area:1 Z=16  S-33      bl:59    ln:145  
    135) Area:1 Z=16  S-34      bl:90    ln:219  
    136) Area:1 Z=16  S-35      bl:2     ln:2    
    137) Area:1 Z=16  S-36      bl:12    ln:25   
    138) Area:1 Z=16  S-37      bl:2     ln:2    
    139) Area:1 Z=16  S-40      bl:1     ln:2    
    140) Area:1 Z=16  S-42      bl:3     ln:6    
    141) Area:1 Z=16  S-44      bl:1     ln:2    
    142) Area:1 Z=16  S-CMP     bl:3     ln:3    
    143) Area:1 Z=17  CL-0      bl:99    ln:237  
    144) Area:1 Z=17  CL-33     bl:1     ln:3    
    145) Area:1 Z=17  CL-34     bl:3     ln:4    
    146) Area:1 Z=17  CL-35     bl:147   ln:325  
    147) Area:1 Z=17  CL-36     bl:20    ln:37   
    148) Area:1 Z=17  CL-37     bl:81    ln:193  
    149) Area:1 Z=17  CL-38     bl:4     ln:4    
    150) Area:1 Z=17  CL-CMP    bl:9     ln:20   
    151) Area:1 Z=18  AR-0      bl:61    ln:119  
    152) Area:1 Z=18  AR-35     bl:2     ln:2    
    153) Area:1 Z=18  AR-36     bl:57    ln:147  
    154) Area:1 Z=18  AR-37     bl:6     ln:8    
    155) Area:1 Z=18  AR-38     bl:22    ln:40   
    156) Area:1 Z=18  AR-39     bl:4     ln:6    
    157) Area:1 Z=18  AR-40     bl:129   ln:300  
    158) Area:1 Z=18  AR-41     bl:5     ln:6    
    159) Area:1 Z=19  K-0       bl:98    ln:228  
    160) Area:1 Z=19  K-38      bl:7     ln:13   
    161) Area:1 Z=19  K-39      bl:104   ln:219  
    162) Area:1 Z=19  K-40      bl:22    ln:41   
    163) Area:1 Z=19  K-41      bl:91    ln:208  
    164) Area:1 Z=19  K-42      bl:4     ln:4    
    165) Area:1 Z=19  K-47      bl:1     ln:2    
    166) Area:1 Z=19  K-CMP     bl:14    ln:29   
    167) Area:1 Z=20  CA-0      bl:212   ln:623  
    168) Area:1 Z=20  CA-39     bl:2     ln:2    
    169) Area:1 Z=20  CA-40     bl:408   ln:963  
    170) Area:1 Z=20  CA-41     bl:9     ln:12   
    171) Area:1 Z=20  CA-42     bl:71    ln:145  
    172) Area:1 Z=20  CA-43     bl:46    ln:103  
    173) Area:1 Z=20  CA-44     bl:90    ln:229  
    174) Area:1 Z=20  CA-45     bl:5     ln:6    
    175) Area:1 Z=20  CA-46     bl:23    ln:43   
    176) Area:1 Z=20  CA-47     bl:2     ln:2    
    177) Area:1 Z=20  CA-48     bl:128   ln:344  
    178) Area:1 Z=20  CA-49     bl:2     ln:2    
    179) Area:1 Z=20  CA-50     bl:1     ln:2    
    180) Area:1 Z=20  CA-CMP    bl:11    ln:16   
    181) Area:1 Z=20  CA-OXI    bl:1     ln:2    
    182) Area:1 Z=21  SC-0      bl:1     ln:1    
    183) Area:1 Z=21  SC-44     bl:6     ln:6    
    184) Area:1 Z=21  SC-45     bl:209   ln:515  
    185) Area:1 Z=21  SC-46     bl:7     ln:9    
    186) Area:1 Z=22  TI-0      bl:264   ln:756  
    187) Area:1 Z=22  TI-44     bl:5     ln:11   
    188) Area:1 Z=22  TI-45     bl:3     ln:3    
    189) Area:1 Z=22  TI-46     bl:143   ln:436  
    190) Area:1 Z=22  TI-47     bl:96    ln:219  
    191) Area:1 Z=22  TI-48     bl:229   ln:607  
    192) Area:1 Z=22  TI-49     bl:62    ln:140  
    193) Area:1 Z=22  TI-50     bl:98    ln:205  
    194) Area:1 Z=22  TI-51     bl:4     ln:4    
    195) Area:1 Z=22  TI-54     bl:1     ln:2    
    196) Area:1 Z=22  TI-CMP    bl:5     ln:11   
    197) Area:1 Z=22  TI-OXI    bl:2     ln:4    
    198) Area:1 Z=23  V-0       bl:93    ln:277  
    199) Area:1 Z=23  V-49      bl:2     ln:2    
    200) Area:1 Z=23  V-50      bl:23    ln:49   
    201) Area:1 Z=23  V-51      bl:442   ln:1150 
    202) Area:1 Z=23  V-52      bl:4     ln:5    
    203) Area:1 Z=23  V-CMP     bl:3     ln:3    
    204) Area:1 Z=24  CR-0      bl:214   ln:649  
    205) Area:1 Z=24  CR-49     bl:3     ln:3    
    206) Area:1 Z=24  CR-50     bl:155   ln:472  
    207) Area:1 Z=24  CR-51     bl:6     ln:9    
    208) Area:1 Z=24  CR-52     bl:241   ln:662  
    209) Area:1 Z=24  CR-53     bl:112   ln:325  
    210) Area:1 Z=24  CR-54     bl:93    ln:274  
    211) Area:1 Z=24  CR-55     bl:4     ln:5    
    212) Area:1 Z=24  CR-CMP    bl:3     ln:3    
    213) Area:1 Z=25  MN-0      bl:1     ln:1    
    214) Area:1 Z=25  MN-52     bl:1     ln:2    
    215) Area:1 Z=25  MN-53     bl:3     ln:6    
    216) Area:1 Z=25  MN-54     bl:10    ln:15   
    217) Area:1 Z=25  MN-55     bl:386   ln:894  
    218) Area:1 Z=25  MN-56     bl:3     ln:3    
    219) Area:1 Z=25  MN-CMP    bl:26    ln:29   
    220) Area:1 Z=26  FE-0      bl:704   ln:2005 
    221) Area:1 Z=26  FE-53     bl:2     ln:2    
    222) Area:1 Z=26  FE-54     bl:412   ln:1320 
    223) Area:1 Z=26  FE-55     bl:9     ln:17   
    224) Area:1 Z=26  FE-56     bl:594   ln:1576 
    225) Area:1 Z=26  FE-57     bl:113   ln:305  
    226) Area:1 Z=26  FE-58     bl:114   ln:272  
    227) Area:1 Z=26  FE-59     bl:4     ln:6    
    228) Area:1 Z=26  FE-60     bl:1     ln:4    
    229) Area:1 Z=26  FE-CMP    bl:35    ln:118  
    230) Area:1 Z=27  CO-0      bl:1     ln:1    
    231) Area:1 Z=27  CO-55     bl:2     ln:4    
    232) Area:1 Z=27  CO-56     bl:1     ln:1    
    233) Area:1 Z=27  CO-57     bl:4     ln:9    
    234) Area:1 Z=27  CO-58     bl:15    ln:35   
    235) Area:1 Z=27  CO-58-M1  bl:5     ln:11   
    236) Area:1 Z=27  CO-59     bl:626   ln:1578 
    237) Area:1 Z=27  CO-60     bl:14    ln:28   
    238) Area:1 Z=27  CO-60-M1  bl:5     ln:10   
    239) Area:1 Z=27  CO-CMP    bl:3     ln:3    
    240) Area:1 Z=28  NI-0      bl:404   ln:1072 
    241) Area:1 Z=28  NI-56     bl:5     ln:11   
    242) Area:1 Z=28  NI-57     bl:3     ln:3    
    243) Area:1 Z=28  NI-58     bl:676   ln:1816 
    244) Area:1 Z=28  NI-59     bl:51    ln:169  
    245) Area:1 Z=28  NI-60     bl:377   ln:1136 
    246) Area:1 Z=28  NI-61     bl:83    ln:191  
    247) Area:1 Z=28  NI-62     bl:185   ln:414  
    248) Area:1 Z=28  NI-63     bl:7     ln:14   
    249) Area:1 Z=28  NI-64     bl:149   ln:355  
    250) Area:1 Z=28  NI-65     bl:7     ln:12   
    251) Area:1 Z=28  NI-68     bl:1     ln:2    
    252) Area:1 Z=28  NI-69     bl:1     ln:2    
    253) Area:1 Z=28  NI-CMP    bl:6     ln:7    
    254) Area:1 Z=29  CU-0      bl:584   ln:1420 
    255) Area:1 Z=29  CU-59     bl:3     ln:4    
    256) Area:1 Z=29  CU-60     bl:1     ln:1    
    257) Area:1 Z=29  CU-61     bl:1     ln:1    
    258) Area:1 Z=29  CU-62     bl:4     ln:4    
    259) Area:1 Z=29  CU-63     bl:404   ln:1083 
    260) Area:1 Z=29  CU-64     bl:9     ln:15   
    261) Area:1 Z=29  CU-65     bl:362   ln:1057 
    262) Area:1 Z=29  CU-66     bl:6     ln:11   
    263) Area:1 Z=29  CU-CMP    bl:9     ln:11   
    264) Area:1 Z=30  ZN-0      bl:230   ln:537  
    265) Area:1 Z=30  ZN-60     bl:1     ln:2    
    266) Area:1 Z=30  ZN-63     bl:3     ln:3    
    267) Area:1 Z=30  ZN-64     bl:248   ln:592  
    268) Area:1 Z=30  ZN-65     bl:12    ln:21   
    269) Area:1 Z=30  ZN-66     bl:95    ln:217  
    270) Area:1 Z=30  ZN-67     bl:60    ln:130  
    271) Area:1 Z=30  ZN-68     bl:143   ln:358  
    272) Area:1 Z=30  ZN-69     bl:3     ln:3    
    273) Area:1 Z=30  ZN-70     bl:40    ln:94   
    274) Area:1 Z=30  ZN-71     bl:2     ln:2    
    275) Area:1 Z=30  ZN-CMP    bl:4     ln:4    
    276) Area:1 Z=31  GA-0      bl:49    ln:92   
    277) Area:1 Z=31  GA-68     bl:2     ln:2    
    278) Area:1 Z=31  GA-69     bl:65    ln:135  
    279) Area:1 Z=31  GA-70     bl:3     ln:3    
    280) Area:1 Z=31  GA-71     bl:67    ln:139  
    281) Area:1 Z=31  GA-72     bl:1     ln:1    
    282) Area:1 Z=32  GE-0      bl:86    ln:198  
    283) Area:1 Z=32  GE-68     bl:2     ln:5    
    284) Area:1 Z=32  GE-69     bl:2     ln:2    
    285) Area:1 Z=32  GE-70     bl:75    ln:163  
    286) Area:1 Z=32  GE-71     bl:3     ln:3    
    287) Area:1 Z=32  GE-72     bl:60    ln:138  
    288) Area:1 Z=32  GE-73     bl:31    ln:59   
    289) Area:1 Z=32  GE-74     bl:80    ln:184  
    290) Area:1 Z=32  GE-75     bl:3     ln:3    
    291) Area:1 Z=32  GE-76     bl:76    ln:172  
    292) Area:1 Z=32  GE-77     bl:2     ln:2    
    293) Area:1 Z=32  GE-80     bl:1     ln:2    
    294) Area:1 Z=32  GE-82     bl:2     ln:5    
    295) Area:1 Z=33  AS-0      bl:1     ln:1    
    296) Area:1 Z=33  AS-74     bl:5     ln:5    
    297) Area:1 Z=33  AS-75     bl:215   ln:475  
    298) Area:1 Z=33  AS-76     bl:2     ln:2    
    299) Area:1 Z=33  AS-77     bl:1     ln:1    
    300) Area:1 Z=34  SE-0      bl:101   ln:224  
    301) Area:1 Z=34  SE-73     bl:2     ln:2    
    302) Area:1 Z=34  SE-74     bl:41    ln:92   
    303) Area:1 Z=34  SE-75     bl:2     ln:2    
    304) Area:1 Z=34  SE-76     bl:69    ln:158  
    305) Area:1 Z=34  SE-77     bl:46    ln:93   
    306) Area:1 Z=34  SE-78     bl:56    ln:113  
    307) Area:1 Z=34  SE-79     bl:4     ln:4    
    308) Area:1 Z=34  SE-80     bl:79    ln:172  
    309) Area:1 Z=34  SE-81     bl:2     ln:2    
    310) Area:1 Z=34  SE-82     bl:51    ln:95   
