CINDA BACKUP   BCK00920241224  86374  82138
      1) Area:9 Z=0   NN-1      bl:11    ln:11   
      2) Area:9 Z=1   H-0       bl:49    ln:49   
      3) Area:9 Z=1   H-1       bl:1139  ln:1304 
      4) Area:9 Z=1   H-2       bl:1113  ln:1175 
      5) Area:9 Z=1   H-3       bl:198   ln:202  
      6) Area:9 Z=2   HE-0      bl:24    ln:25   
      7) Area:9 Z=2   HE-3      bl:506   ln:528  
      8) Area:9 Z=2   HE-4      bl:592   ln:621  
      9) Area:9 Z=3   LI-0      bl:40    ln:41   
     10) Area:9 Z=3   LI-11     bl:1     ln:1    
     11) Area:9 Z=3   LI-6      bl:788   ln:817  
     12) Area:9 Z=3   LI-7      bl:551   ln:563  
     13) Area:9 Z=3   LI-8      bl:9     ln:9    
     14) Area:9 Z=3   LI-9      bl:1     ln:1    
     15) Area:9 Z=4   BE-0      bl:165   ln:169  
     16) Area:9 Z=4   BE-10     bl:30    ln:30   
     17) Area:9 Z=4   BE-11     bl:1     ln:1    
     18) Area:9 Z=4   BE-7      bl:9     ln:9    
     19) Area:9 Z=4   BE-8      bl:1     ln:1    
     20) Area:9 Z=4   BE-9      bl:1091  ln:1124 
     21) Area:9 Z=5   B-0       bl:30    ln:30   
     22) Area:9 Z=5   B-10      bl:467   ln:483  
     23) Area:9 Z=5   B-11      bl:511   ln:527  
     24) Area:9 Z=5   B-12      bl:1     ln:1    
     25) Area:9 Z=5   B-9       bl:2     ln:2    
     26) Area:9 Z=6   C-0       bl:814   ln:875  
     27) Area:9 Z=6   C-10      bl:5     ln:5    
     28) Area:9 Z=6   C-12      bl:4150  ln:4359 
     29) Area:9 Z=6   C-13      bl:736   ln:760  
     30) Area:9 Z=6   C-14      bl:310   ln:325  
     31) Area:9 Z=7   N-0       bl:61    ln:61   
     32) Area:9 Z=7   N-13      bl:1     ln:1    
     33) Area:9 Z=7   N-14      bl:602   ln:619  
     34) Area:9 Z=7   N-15      bl:277   ln:294  
     35) Area:9 Z=7   N-20      bl:1     ln:1    
     36) Area:9 Z=7   N-21      bl:1     ln:1    
     37) Area:9 Z=8   O-0       bl:102   ln:104  
     38) Area:9 Z=8   O-16      bl:1531  ln:1598 
     39) Area:9 Z=8   O-17      bl:153   ln:160  
     40) Area:9 Z=8   O-18      bl:393   ln:411  
     41) Area:9 Z=8   O-22      bl:1     ln:1    
     42) Area:9 Z=9   F-0       bl:25    ln:26   
     43) Area:9 Z=9   F-17      bl:2     ln:2    
     44) Area:9 Z=9   F-18      bl:2     ln:2    
     45) Area:9 Z=9   F-19      bl:438   ln:450  
     46) Area:9 Z=10  NE-0      bl:19    ln:19   
     47) Area:9 Z=10  NE-20     bl:449   ln:469  
     48) Area:9 Z=10  NE-21     bl:76    ln:77   
     49) Area:9 Z=10  NE-22     bl:177   ln:184  
     50) Area:9 Z=11  NA-0      bl:29    ln:31   
     51) Area:9 Z=11  NA-20     bl:1     ln:1    
     52) Area:9 Z=11  NA-22     bl:4     ln:4    
     53) Area:9 Z=11  NA-23     bl:315   ln:332  
     54) Area:9 Z=12  MG-0      bl:62    ln:62   
     55) Area:9 Z=12  MG-23     bl:1     ln:1    
     56) Area:9 Z=12  MG-24     bl:1195  ln:1253 
     57) Area:9 Z=12  MG-25     bl:297   ln:313  
     58) Area:9 Z=12  MG-26     bl:682   ln:720  
     59) Area:9 Z=13  AL-0      bl:220   ln:230  
     60) Area:9 Z=13  AL-23     bl:1     ln:1    
     61) Area:9 Z=13  AL-26     bl:8     ln:8    
     62) Area:9 Z=13  AL-27     bl:1724  ln:1799 
     63) Area:9 Z=14  SI-0      bl:255   ln:261  
     64) Area:9 Z=14  SI-28     bl:1406  ln:1481 
     65) Area:9 Z=14  SI-29     bl:230   ln:237  
     66) Area:9 Z=14  SI-30     bl:299   ln:318  
     67) Area:9 Z=15  P-0       bl:19    ln:19   
     68) Area:9 Z=15  P-31      bl:273   ln:291  
     69) Area:9 Z=15  P-32      bl:1     ln:1    
