CINDA BACKUP   BCK00420140625  61486  28750
      1) Area:4 Z=0   NN-1      bl:2     ln:2    
      2) Area:4 Z=1   H-1       bl:58    ln:112  
      3) Area:4 Z=1   H-2       bl:93    ln:168  
      4) Area:4 Z=1   H-3       bl:23    ln:40   
      5) Area:4 Z=1   H-BNZ     bl:7     ln:22   
      6) Area:4 Z=1   H-CMP     bl:4     ln:7    
      7) Area:4 Z=1   H-CXX     bl:8     ln:22   
      8) Area:4 Z=1   H-D2O     bl:5     ln:10   
      9) Area:4 Z=1   H-DXX     bl:1     ln:1    
     10) Area:4 Z=1   H-MTH     bl:2     ln:3    
     11) Area:4 Z=1   H-PHL     bl:3     ln:9    
     12) Area:4 Z=1   H-PLE     bl:6     ln:11   
     13) Area:4 Z=1   H-TXX     bl:2     ln:2    
     14) Area:4 Z=1   H-WTR     bl:28    ln:53   
     15) Area:4 Z=2   HE-3      bl:49    ln:94   
     16) Area:4 Z=2   HE-4      bl:41    ln:65   
     17) Area:4 Z=3   LI-0      bl:18    ln:34   
     18) Area:4 Z=3   LI-6      bl:78    ln:149  
     19) Area:4 Z=3   LI-7      bl:69    ln:160  
     20) Area:4 Z=3   LI-CMP    bl:1     ln:2    
     21) Area:4 Z=4   BE-7      bl:5     ln:5    
     22) Area:4 Z=4   BE-9      bl:91    ln:187  
     23) Area:4 Z=4   BE-CMP    bl:1     ln:2    
     24) Area:4 Z=4   BE-OXI    bl:6     ln:11   
     25) Area:4 Z=5   B-0       bl:38    ln:78   
     26) Area:4 Z=5   B-10      bl:33    ln:68   
     27) Area:4 Z=5   B-11      bl:26    ln:39   
     28) Area:4 Z=5   B-9       bl:1     ln:2    
     29) Area:4 Z=5   B-CMP     bl:2     ln:5    
     30) Area:4 Z=6   C-0       bl:1     ln:3    
     31) Area:4 Z=6   C-12      bl:170   ln:346  
     32) Area:4 Z=6   C-13      bl:8     ln:10   
     33) Area:4 Z=6   C-14      bl:1     ln:2    
     34) Area:4 Z=6   C-CMP     bl:1     ln:2    
     35) Area:4 Z=7   N-14      bl:70    ln:137  
     36) Area:4 Z=7   N-15      bl:22    ln:23   
     37) Area:4 Z=7   N-AIR     bl:6     ln:12   
     38) Area:4 Z=7   N-AMM     bl:3     ln:5    
     39) Area:4 Z=8   O-0       bl:3     ln:11   
     40) Area:4 Z=8   O-15      bl:3     ln:4    
     41) Area:4 Z=8   O-16      bl:95    ln:182  
     42) Area:4 Z=8   O-17      bl:10    ln:15   
     43) Area:4 Z=8   O-18      bl:6     ln:8    
     44) Area:4 Z=9   F-19      bl:53    ln:126  
     45) Area:4 Z=10  NE-0      bl:4     ln:5    
     46) Area:4 Z=10  NE-20     bl:6     ln:9    
     47) Area:4 Z=10  NE-21     bl:4     ln:9    
     48) Area:4 Z=10  NE-22     bl:2     ln:2    
     49) Area:4 Z=11  NA-22     bl:6     ln:13   
     50) Area:4 Z=11  NA-23     bl:118   ln:262  
     51) Area:4 Z=11  NA-24     bl:1     ln:2    
     52) Area:4 Z=11  NA-CMP    bl:1     ln:1    
     53) Area:4 Z=12  MG-0      bl:79    ln:205  
     54) Area:4 Z=12  MG-24     bl:52    ln:95   
     55) Area:4 Z=12  MG-25     bl:18    ln:30   
     56) Area:4 Z=12  MG-26     bl:16    ln:22   
     57) Area:4 Z=12  MG-27     bl:4     ln:7    
     58) Area:4 Z=12  MG-CMP    bl:1     ln:1    
     59) Area:4 Z=13  AL-26     bl:1     ln:1    
     60) Area:4 Z=13  AL-27     bl:272   ln:642  
     61) Area:4 Z=13  AL-28     bl:5     ln:10   
     62) Area:4 Z=13  AL-CMP    bl:3     ln:4    
     63) Area:4 Z=14  SI-0      bl:74    ln:154  
     64) Area:4 Z=14  SI-28     bl:73    ln:130  
     65) Area:4 Z=14  SI-29     bl:16    ln:28   
     66) Area:4 Z=14  SI-30     bl:17    ln:31   
     67) Area:4 Z=14  SI-31     bl:1     ln:3    
     68) Area:4 Z=14  SI-OXI    bl:2     ln:3    
     69) Area:4 Z=15  P-31      bl:72    ln:166  
     70) Area:4 Z=15  P-32      bl:1     ln:1    
     71) Area:4 Z=16  S-0       bl:65    ln:132  
     72) Area:4 Z=16  S-32      bl:57    ln:114  
     73) Area:4 Z=16  S-33      bl:9     ln:10   
     74) Area:4 Z=16  S-34      bl:13    ln:21   
     75) Area:4 Z=16  S-35      bl:2     ln:5    
     76) Area:4 Z=16  S-36      bl:2     ln:3    
     77) Area:4 Z=17  CL-0      bl:45    ln:87   
     78) Area:4 Z=17  CL-35     bl:53    ln:107  
     79) Area:4 Z=17  CL-36     bl:11    ln:17   
     80) Area:4 Z=17  CL-37     bl:20    ln:35   
     81) Area:4 Z=17  CL-38     bl:1     ln:2    
     82) Area:4 Z=18  AR-0      bl:11    ln:17   
     83) Area:4 Z=18  AR-36     bl:11    ln:17   
     84) Area:4 Z=18  AR-37     bl:1     ln:1    
     85) Area:4 Z=18  AR-38     bl:4     ln:5    
     86) Area:4 Z=18  AR-39     bl:1     ln:3    
     87) Area:4 Z=18  AR-40     bl:15    ln:18   
     88) Area:4 Z=18  AR-41     bl:1     ln:2    
     89) Area:4 Z=19  K-0       bl:37    ln:75   
     90) Area:4 Z=19  K-39      bl:39    ln:72   
     91) Area:4 Z=19  K-40      bl:6     ln:9    
     92) Area:4 Z=19  K-41      bl:25    ln:57   
     93) Area:4 Z=19  K-42      bl:1     ln:2    
     94) Area:4 Z=19  K-CMP     bl:1     ln:3    
     95) Area:4 Z=20  CA-0      bl:50    ln:82   
     96) Area:4 Z=20  CA-36     bl:1     ln:2    
     97) Area:4 Z=20  CA-38     bl:1     ln:2    
     98) Area:4 Z=20  CA-40     bl:52    ln:72   
     99) Area:4 Z=20  CA-41     bl:6     ln:8    
    100) Area:4 Z=20  CA-42     bl:18    ln:37   
    101) Area:4 Z=20  CA-43     bl:9     ln:12   
    102) Area:4 Z=20  CA-44     bl:31    ln:57   
    103) Area:4 Z=20  CA-45     bl:3     ln:5    
    104) Area:4 Z=20  CA-46     bl:8     ln:9    
    105) Area:4 Z=20  CA-48     bl:12    ln:17   
    106) Area:4 Z=20  CA-49     bl:1     ln:2    
    107) Area:4 Z=21  SC-45     bl:57    ln:111  
    108) Area:4 Z=21  SC-46     bl:7     ln:20   
    109) Area:4 Z=22  TI-0      bl:114   ln:291  
    110) Area:4 Z=22  TI-44     bl:2     ln:3    
    111) Area:4 Z=22  TI-46     bl:51    ln:106  
    112) Area:4 Z=22  TI-47     bl:32    ln:63   
    113) Area:4 Z=22  TI-48     bl:89    ln:179  
    114) Area:4 Z=22  TI-49     bl:25    ln:49   
    115) Area:4 Z=22  TI-50     bl:34    ln:63   
    116) Area:4 Z=22  TI-51     bl:2     ln:3    
    117) Area:4 Z=23  V-0       bl:4     ln:13   
    118) Area:4 Z=23  V-48      bl:1     ln:1    
    119) Area:4 Z=23  V-49      bl:2     ln:2    
    120) Area:4 Z=23  V-50      bl:31    ln:56   
    121) Area:4 Z=23  V-51      bl:124   ln:268  
    122) Area:4 Z=23  V-52      bl:3     ln:7    
    123) Area:4 Z=23  V-CMP     bl:1     ln:2    
    124) Area:4 Z=24  CR-0      bl:141   ln:354  
    125) Area:4 Z=24  CR-48     bl:2     ln:3    
